task_name,dataset_id,error_rate_bin,cleaning_method,cluster_method,Silhouette Score,Davies-Bouldin Score,Combined Score,alpha,H_alpha
hospital,38,15,baran,KMEANSNF,0.261295825338983,1.18008019999177,0.526119796903696,0.75,0.5766104298070224
hospital,38,15,baran,GMM,0.271429274208365,1.03519724394289,0.550061064848102,0.75,0.5922157013381182
hospital,38,15,baran,HC,0.633835788607262,0.36920452946938,0.768632644476863,0.75,0.7934077005774991
hospital,38,15,baran,KMEANS,0.271379549734699,1.04120827528395,0.549090100331062,0.75,0.5916729699871404
hospital,38,15,baran,KMEANSPPS,0.293250678211451,1.07658497363209,0.54721340522722,0.75,0.5955875834169408
hospital,38,15,baran,DBSCAN,0.0858778034758863,1.71298394871323,0.434114338572595,0.75,0.485527189854558
hospital,38,15,Unified,KMEANSNF,0.165027664423436,1.38713144396854,0.482619086885043,0.75,0.5306993844978306
hospital,38,15,Unified,GMM,0.192629901891933,1.0226863767289,0.537577217311736,0.75,0.5670875253544692
hospital,38,15,Unified,HC,0.26516051277073,0.390061096233446,0.675803023940339,0.75,0.6522580325337586
hospital,38,15,Unified,KMEANS,0.196067128395938,1.1955497780635,0.512938765307361,0.75,0.5546318911547174
hospital,38,15,Unified,KMEANSPPS,0.154195161160432,1.51184589186375,0.466048669218913,0.75,0.518788340768177
hospital,38,15,GroundTruth,KMEANSNF,0.297096223286209,1.03836962469532,0.554006934339812,0.75,0.6002322971964807
hospital,38,15,GroundTruth,GMM,0.327458033629477,0.975320347624405,0.569787551195372,0.75,0.6158358575085988
hospital,38,15,GroundTruth,HC,0.605012134145019,0.310714056153925,0.781040215077381,0.75,0.7922355291855654
hospital,38,15,GroundTruth,KMEANS,0.335248312653257,0.994750884760798,0.56779246876387,0.75,0.6164945808042043
hospital,38,15,GroundTruth,KMEANSPPS,0.325984285052474,1.08646697507814,0.551044690699291,0.75,0.6050148946722823
hospital,38,15,GroundTruth,DBSCAN,0.242159967502909,1.69346159381856,0.457816558560225,0.75,0.5316492574495326
hospital,39,5,mode,KMEANSNF,0.189125803667821,1.30212054339818,0.497358883060223,0.75,0.5443773686375416
hospital,39,5,mode,GMM,0.208898494754967,1.21610169829787,0.512268510416668,0.75,0.5571575728006297
hospital,39,5,mode,HC,0.399335744230136,0.411622280523347,0.704271425859529,0.75,0.7018318377221991
hospital,39,5,mode,KMEANS,0.200823618715023,1.32847780801708,0.49581303239089,0.75,0.5460714758752778
hospital,39,5,mode,KMEANSPPS,0.229298451362627,1.45511189571205,0.4840568414469,0.75,0.5452603932678726
hospital,39,5,mode,DBSCAN,0.0117802860252953,1.76840714435802,0.417308060906351,0.75,0.4598468414779107
hospital,39,5,bigdansing,KMEANSNF,0.184142851005094,1.33610813471611,0.492135561855647,0.75,0.5403167933119153
hospital,39,5,bigdansing,GMM,0.190965364539555,1.20341954373939,0.51096321658117,0.75,0.5523832319234369
hospital,39,5,bigdansing,HC,0.643475148759003,0.285270997364361,0.797987549689842,0.75,0.8103610229870708
hospital,39,5,bigdansing,KMEANS,0.236133499981307,1.27841998283214,0.508130531639086,0.75,0.5608316845820421
hospital,39,5,bigdansing,KMEANSPPS,0.200885069223793,1.48896064323774,0.475758861738254,0.75,0.5343824634269988
hospital,39,5,bigdansing,DBSCAN,0.0390823784697534,1.90644340232828,0.408988027143754,0.75,0.46078866853798695
hospital,39,5,boostclean,KMEANSNF,0.212121355494242,1.28535587615292,0.50333749942837,0.75,0.55284085429325
hospital,39,5,boostclean,GMM,0.205396426746972,1.29998225465326,0.50029591717208,0.75,0.5496319123858685
hospital,39,5,boostclean,HC,0.367173273239636,0.426429635271723,0.692732952249751,0.75,0.6878706543416739
hospital,39,5,boostclean,KMEANS,0.216957829984657,1.2312232939114,0.511517785519062,0.75,0.5585382853469478
hospital,39,5,boostclean,KMEANSPPS,0.183089044454914,1.53299853521042,0.467941460467138,0.75,0.5260065508310754
hospital,39,5,boostclean,DBSCAN,0.0087862689720941,1.75990594102504,0.417612735172959,0.75,0.45936632222723744
hospital,39,5,holoclean,KMEANSNF,0.242363017736355,1.26596423623755,0.510833841705767,0.75,0.5637399224083585
hospital,39,5,holoclean,GMM,0.250489369083885,1.11685992664803,0.533720039292454,0.75,0.5784541880280638
hospital,39,5,holoclean,HC,0.547523821839324,0.358872828116724,0.753224976460912,0.75,0.7639369113923589
hospital,39,5,holoclean,KMEANS,0.257375193440029,1.16028840580114,0.528389868869809,0.75,0.5770229091288747
hospital,39,5,holoclean,KMEANSPPS,0.227168870070049,1.31695893493051,0.501509799530161,0.75,0.5550728289100927
hospital,39,5,holoclean,DBSCAN,0.13186269413429,1.80694518764476,0.431374678181673,0.75,0.4933434689829371
hospital,39,5,horizon,KMEANSNF,0.249910900534137,1.10132035081342,0.535976514523702,0.75,0.5795705005945047
hospital,39,5,horizon,GMM,0.294433287614684,1.11181842834307,0.541873172590141,0.75,0.592851557837192
hospital,39,5,horizon,HC,0.448590384627121,0.445477870037966,0.706708803050988,0.75,0.7158919325635988
hospital,39,5,horizon,KMEANS,0.279473884204779,1.11237024556444,0.53930648983079,0.75,0.588079822123155
hospital,39,5,horizon,KMEANSPPS,0.281267999044868,1.39878241002023,0.498752393933908,0.75,0.5648406370381968
hospital,39,5,horizon,DBSCAN,0.136134131968711,1.75732485176169,0.436919855417039,0.75,0.49761199509269904
hospital,39,5,scared,KMEANSNF,0.163964713690155,1.30809658687188,0.492398400229816,0.75,0.5359852433726421
hospital,39,5,scared,GMM,0.172841370007133,1.50698611830886,0.469444986916697,0.75,0.5247438046414304
hospital,39,5,scared,HC,0.375373106427705,0.4207784381347,0.696154140345115,0.75,0.6916548838583307
hospital,39,5,scared,KMEANS,0.159935206974685,1.40887202143763,0.479135502143559,0.75,0.5275948779086985
hospital,39,5,scared,KMEANSPPS,0.162656807087464,1.54199565198227,0.463875511277526,0.75,0.5193058524223706
hospital,39,5,scared,DBSCAN,-0.0797317066656771,1.98650665723567,0.383981846643728,0.75,0.4207716247071089
hospital,39,5,baran,KMEANSNF,0.251251358233433,1.15846627185133,0.527639036014599,0.75,0.5752361530540218
hospital,39,5,baran,GMM,0.275491000998868,1.09550318330998,0.541246272311591,0.75,0.5882721472813461
hospital,39,5,baran,HC,0.633835788607262,0.36920452946938,0.768632644476863,0.75,0.7934077005774991
hospital,39,5,baran,KMEANS,0.284717591844275,1.09070743113678,0.543551152472565,0.75,0.5916289356381011
hospital,39,5,baran,KMEANSPPS,0.238531695557214,1.3718643974116,0.496019112401636,0.75,0.554299876696251
hospital,39,5,baran,DBSCAN,0.147070709855077,1.8826741824567,0.426022111454528,0.75,0.49301221676118223
hospital,39,5,Unified,KMEANSNF,0.189125803667821,1.30212054339818,0.497358883060223,0.75,0.5443773686375416
hospital,39,5,Unified,GMM,0.195198312977796,1.35269069027462,0.491785600295264,0.75,0.5425363339511579
hospital,39,5,Unified,HC,0.399335744230136,0.411622280523347,0.704271425859529,0.75,0.7018318377221991
hospital,39,5,Unified,KMEANS,0.200823618715023,1.32847780801708,0.49581303239089,0.75,0.5460714758752778
hospital,39,5,Unified,KMEANSPPS,0.181512225627195,1.67985754085658,0.451280831714962,0.75,0.5155904695732763
hospital,39,5,Unified,DBSCAN,-0.0103098768999689,1.75151191101495,0.415266258393686,0.75,0.45382266060442555
